,rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,delay_interval,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_rental_delay,waiting_time,impacted
154,540966,405906,mobile,ended,11.0,< 30 minutes,,,,0.0,0
155,541014,321607,mobile,ended,-7.0,Early or on time,,,,0.0,0
156,541060,280562,mobile,ended,146.0,2 to 5 hours,,,,0.0,0
157,541174,284552,mobile,ended,-25.0,Early or on time,,,,0.0,0
158,541334,372670,mobile,ended,,Unknown,,,,0.0,0
159,541372,387559,mobile,ended,13.0,< 30 minutes,,,,0.0,0
160,541444,397413,mobile,ended,901.0,5 to 24 hours,,,,0.0,0
161,541590,378418,mobile,canceled,,Unknown,,,,0.0,0
162,541784,408830,mobile,ended,52.0,< 1 hour,,,,0.0,0
163,541862,382364,mobile,ended,125.0,2 to 5 hours,540607.0,0.0,1.0,-1.0,1
164,541884,398604,mobile,ended,,Unknown,,,,0.0,0
165,541948,321674,mobile,ended,165.0,2 to 5 hours,,,,0.0,0
166,541991,329496,mobile,ended,-25.0,Early or on time,,,,0.0,0
167,542033,164574,mobile,ended,,Unknown,,,,0.0,0
168,542106,392656,mobile,ended,,Unknown,,,,0.0,0
169,542149,371368,mobile,ended,83.0,1 to 2 hours,,,,0.0,0
170,542203,388268,mobile,ended,69.0,1 to 2 hours,,,,0.0,0
171,542222,207728,mobile,ended,156.0,2 to 5 hours,,,,0.0,0
172,542300,307595,mobile,ended,,Unknown,539897.0,30.0,,0.0,0
173,542336,374400,mobile,canceled,,Unknown,,,,0.0,0
174,542339,322005,mobile,ended,12.0,< 30 minutes,,,,0.0,0
175,542374,409676,mobile,ended,50.0,< 1 hour,540444.0,180.0,,0.0,0
176,542400,315909,mobile,ended,-7.0,Early or on time,,,,0.0,0
177,542413,409980,mobile,canceled,,Unknown,,,,0.0,0
178,542520,401751,mobile,ended,183.0,2 to 5 hours,,,,0.0,0
179,542549,221978,mobile,canceled,,Unknown,,,,0.0,0
180,542661,391512,mobile,ended,-170.0,Early or on time,,,,0.0,0
181,542894,218964,mobile,ended,-36.0,Early or on time,,,,0.0,0
182,542942,358082,connect,ended,-106.0,Early or on time,,,,0.0,0
183,543012,393044,mobile,ended,9.0,< 30 minutes,,,,0.0,0
184,543050,379428,mobile,ended,-21.0,Early or on time,,,,0.0,0
185,543088,200316,mobile,ended,64.0,1 to 2 hours,,,,0.0,0
186,543150,410052,mobile,ended,23.0,< 30 minutes,,,,0.0,0
187,543180,350521,mobile,ended,14.0,< 30 minutes,,,,0.0,0
188,543186,395671,mobile,ended,5.0,< 30 minutes,,,,0.0,0
189,543243,344149,mobile,ended,300.0,5 to 24 hours,,,,0.0,0
190,543251,409296,mobile,ended,-18.0,Early or on time,,,,0.0,0
191,543257,389929,mobile,ended,,Unknown,,,,0.0,0
192,543287,377312,mobile,ended,12.0,< 30 minutes,,,,0.0,0
193,543321,371572,connect,ended,48.0,< 1 hour,,,,0.0,0
194,543328,358772,connect,ended,-9.0,Early or on time,552619.0,240.0,,0.0,0
195,543437,409808,mobile,ended,-57.0,Early or on time,,,,0.0,0
196,543443,356551,connect,ended,-529.0,Early or on time,,,,0.0,0
197,543464,399161,mobile,ended,670.0,5 to 24 hours,,,,0.0,0
198,543614,378939,mobile,ended,-1087.0,Early or on time,,,,0.0,0
199,543676,390481,mobile,ended,-53.0,Early or on time,,,,0.0,0
200,543679,225795,connect,ended,64.0,1 to 2 hours,540663.0,540.0,,0.0,0
201,543681,368432,mobile,ended,2.0,< 30 minutes,,,,0.0,0
202,543761,294189,mobile,ended,24.0,< 30 minutes,,,,0.0,0
203,543768,374169,connect,canceled,,Unknown,543010.0,210.0,,0.0,0
204,543780,319708,mobile,ended,55.0,< 1 hour,,,,0.0,0
205,543808,369230,mobile,ended,75.0,1 to 2 hours,536315.0,60.0,,0.0,0
206,543879,270665,mobile,ended,,Unknown,,,,0.0,0
207,543906,401666,mobile,ended,,Unknown,,,,0.0,0
208,543984,313085,mobile,ended,-44.0,Early or on time,,,,0.0,0
209,544164,301301,connect,ended,-244.0,Early or on time,,,,0.0,0
210,544167,306607,connect,ended,337.0,5 to 24 hours,,,,0.0,0
211,544197,387939,connect,ended,39.0,< 1 hour,,,,0.0,0
212,544443,337047,mobile,ended,56.0,< 1 hour,,,,0.0,0
213,544489,405565,mobile,canceled,,Unknown,,,,0.0,0
214,544586,312389,mobile,ended,31.0,< 1 hour,,,,0.0,0
215,544617,367627,mobile,ended,-23.0,Early or on time,,,,0.0,0
216,544642,176755,mobile,canceled,,Unknown,,,,0.0,0
217,544763,394781,mobile,ended,233.0,2 to 5 hours,,,,0.0,0
218,544777,387810,connect,ended,50.0,< 1 hour,,,,0.0,0
219,544937,348400,mobile,ended,108.0,1 to 2 hours,,,,0.0,0
220,544967,373545,mobile,ended,56.0,< 1 hour,,,,0.0,0
